Nom;Japon_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;14,9;16,7;72;38;
c2;13,3;17,8;96;31;
c3;14,7;18;14;33;
c4;12,4;18;44;47;
c5;12,6;15,1;44;23;
c6;15;15,2;93;41;
c7;12,9;15,6;84;35;
c8;13,8;15,3;32;25;
c9;13,5;17,2;16;49;
c10;12,6;16,7;37;20;
c11;12;17,7;94;30;
c12;12,5;16,6;39;23;
c13;13,4;15,1;70;24;
c14;14,7;15,3;31;40;
c15;12,4;16,3;62;35;
c16;14;15,2;44;23;
c17;12,8;16,4;64;45;
c18;14,8;17;91;47;
c19;13,6;15,3;24;27;
c20;14,8;17;98;32;
c21;13;15,2;52;33;
c22;13,9;17,8;14;47;
c23;14,3;15,9;52;38;
c24;14,4;16,2;21;25;
c25;12,7;16,7;43;26;
c26;12,6;15,7;53;48;
c27;9,1;8;13;22;
c28;16;15,9;26;22;
c29;12,8;14,8;30;29;
c30;11;6,2;45;38;
c31;13,9;9,9;28;22;
c32;11,9;6,4;95;27;
c33;8,1;12,3;96;46;
c34;11,3;7,8;55;31;
c35;13,2;6,6;78;22;
c36;15,6;11,7;79;25;
c37;12,2;13,3;23;42;
c38;11,1;11;47;30;
c39;8,6;8,5;74;41;
c40;14,8;6,8;54;29;
c41;13,7;12,7;54;46;
c42;15,2;6,4;82;49;
c43;15,8;6,6;69;40;
c44;8,9;11,5;88;46;
c45;14,8;15,8;12;29;
c46;15,3;8,6;98;42;
c47;11,2;6,2;47;44;
c48;9,5;6,1;53;34;
c49;15,5;8,1;38;39;
c50;9,4;13,5;14;50;
c51;8,8;12,5;44;46;
c52;9,6;11,7;75;48;
c53;15,8;13,2;52;41;
c54;12,5;7,7;16;22;
c55;14,1;13,1;51;37;
c56;15,3;15,3;53;48;
c57;13,3;10,6;40;48;
c58;10,3;12,8;24;27;
c59;9,1;15,2;14;34;
c60;12,6;16;65;28;
c61;8,2;14,7;31;33;
c62;14,4;8;76;38;
c63;13,9;7,3;57;25;
c64;8,9;7;50;26;
c65;15,3;10,4;26;37;
c66;14,1;14,9;27;37;
c67;15,8;9,6;25;33;
c68;12,5;10,8;61;43;
c69;15;11,2;32;32;
c70;12,8;10,6;52;40;
c71;15,3;14,3;25;24;
c72;14,5;11,4;17;34;
c73;11,4;8;40;50;
c74;15,8;7,6;82;45;
c75;3,6;4,6;20;29;
c76;10,8;14,1;67;31;
c77;21,7;5,5;36;34;
c78;14,7;16,5;99;45;
c79;10,3;17;74;35;
c80;24,1;8,6;84;35;
c81;24,5;17,1;34;31;
c82;16,8;24,3;58;29;
c83;5,2;20,3;18;40;
c84;4,9;20,2;65;36;
c85;23,1;4,9;52;42;
c86;20,9;21,9;87;42;
c87;3,8;3,2;89;40;
c88;23,5;7,8;96;33;
c89;11,1;12,1;97;32;
c90;13,9;1,7;54;32;
c91;20,5;10,4;91;40;
c92;6,1;9,7;69;49;
c93;20,9;6,1;57;35;
c94;16,2;19,8;26;34;
c95;18,5;11,6;56;41;
c96;2,9;15,3;11;26;
c97;1,5;8,5;60;41;
c98;10;21,2;28;40;
c99;8,3;22,1;81;23;
c100;10,3;13,2;44;43;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;14,6;17,5;1980;12;3,1
l2;12,2;15,1;2030;13;4
l3;14,5;16,9;670;10;3,6
l4;12,4;18;820;10;4,2
l5;15;15;2440;10;3,8
l6;13;18;1540;8;3,1
l7;13,1;17;1510;8;3,9
l8;14,5;16,3;2360;9;4,5
l9;13,8;17,2;1950;8;3,4
l10;13,6;17,9;1910;14;3,7
l11;11,7;12,6;610;10;3,3
l12;15,2;10;2170;14;2
l13;14,4;15,2;1790;12;1,3
l14;10,5;8,5;270;14;1,8
l15;13,3;15,3;1820;15;1,8
l16;15,3;9;430;10;3,2
l17;11,6;9,8;1090;13;3,1
l18;14,3;8,3;1580;9;3,3
l19;10,1;10;420;14;1,2
l20;11,2;14,6;1210;12;2,6
l21;12,2;10,3;1910;11;2,8
l22;11,6;12,6;2070;13;2,8
l23;11,1;8,1;900;10;2
l24;12;10,5;750;8;2,1
l25;9,4;7;270;9;1,1
l26;11,1;13,1;820;12;1,8
l27;13,2;11,4;2280;13;3,1
l28;11,5;9;2330;12;2,4
l29;12,9;13,9;1250;11;3,4
l30;8,2;8,3;1570;8;1,5
l31;1,6;24,6;300;14;1,6
l32;21,1;4,5;2440;10;1,1
l33;16,4;4,3;800;8;1,8
l34;22,8;5,4;1010;9;2
l35;16,7;10,8;1820;8;2
l36;12,9;20,6;1870;13;1,1
l37;12,4;19,4;1000;12;1,8
l38;1,2;7,3;1480;12;2
l39;19;11,4;580;12;1,9
l40;10,3;20,1;840;10;1,5
l41;0;0;54890;100;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;14,6;15,4;8410;2250;400
r2;12,3;15,2;2220;1630;1210
r3;14,7;17,8;5390;1600;1010
r4;14,6;17,8;5810;1750;940
r5;12,2;17,1;2210;600;1150
r6;14,6;17,3;3870;1120;210
r7;14,1;16,4;7500;1650;1440
r8;13;17;8800;610;820
r9;12,1;13,1;2980;1450;1000
r10;14,5;15,3;8460;2030;1390
r11;9,1;8;4260;1150;890
r12;15,9;11,4;6760;1940;900
r13;15,1;7,7;6500;1700;1560
r14;13,9;11,4;1560;750;1070
r15;10,5;10,9;8810;1630;1130
r16;8;7,4;3830;1070;1430
r17;8,3;12,8;6710;1050;1680
r18;15,1;11,5;2880;1680;240
r19;8,5;8,4;6870;1830;1310
r20;13;12,5;2830;2170;860
r21;10,1;14,2;5100;2220;710
r22;13,2;9,3;7770;940;1010
r23;9,4;12;8030;2100;280
r24;11,5;10,5;6240;790;770
r25;13,7;9,3;5770;2190;860
