Nom;France_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;20,5;11,2;45;26;
c2;19,2;22,1;30;50;
c3;21;1,5;35;20;
c4;5,8;3,1;47;30;
c5;21,6;14,8;69;30;
c6;5,1;13,7;54;31;
c7;3,3;7,7;80;48;
c8;14;3,3;83;28;
c9;20,2;23,7;56;27;
c10;22,5;17,9;97;21;
c11;13,2;24,3;28;42;
c12;19,8;1;55;39;
c13;5,9;18,5;44;21;
c14;21;1,8;67;29;
c15;5,7;19,1;23;46;
c16;4,6;1,1;100;47;
c17;10,1;11,9;54;27;
c18;19,6;6,1;96;48;
c19;8,4;18,9;67;25;
c20;21,1;1,7;30;28;
c21;1;7;23;43;
c22;24,7;14,6;21;26;
c23;24,4;18,8;87;36;
c24;12,4;12,4;30;45;
c25;6,2;20;74;30;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;19,1;23,1;880;6;2,5
l2;2,3;6,5;420;4;2,4
l3;11,9;1,9;280;6;3,2
l4;15,7;17,5;430;3;2,2
l5;16,9;6,3;690;3;1,9
l6;17,5;10,1;430;3;2,6
l7;16;20,7;820;4;1,5
l8;5,8;10,9;880;4;2,2
l9;24,9;16,4;590;6;2,6
l10;11,1;7,5;400;5;1,1
l11;8,5;11,4;810;6;2,3
l12;23,7;1,2;750;4;2,9
l13;19,8;9,2;950;4;2,1
l14;7,9;7;740;5;2,1
l15;14,1;17;660;4;2,5
l16;0;0;9730;25;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;18;14,5;4300;600;760
r2;21,2;24,1;2740;800;590
r3;9,5;16;2970;950;590
r4;15,5;1;4320;1150;710
r5;20,1;1,2;4780;710;670
r6;22,3;4,6;2930;820;500
r7;7,2;9,7;3240;1200;460
r8;7,9;10,3;4170;820;660
r9;22,4;22,7;3900;890;730
r10;19,8;4,4;2600;970;800
r11;13;13,3;3550;1080;510
r12;0;0;39500;1395;843
