Nom;Allemagne_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;12,7;15,4;93;37;
c2;7,9;24,4;28;50;
c3;19,3;18,5;30;28;
c4;19,6;1,5;61;35;
c5;9,4;19;53;23;
c6;10,2;18,7;51;24;
c7;5,4;24,9;36;34;
c8;21,7;19,4;76;34;
c9;6,4;2,7;48;26;
c10;23,4;9,9;86;40;
c11;21,3;19,9;38;26;
c12;8,1;7,1;52;41;
c13;1,8;14,7;87;28;
c14;5,3;7;24;41;
c15;21,2;10;19;23;
c16;14,2;22,3;37;47;
c17;11,7;15,3;72;50;
c18;24,8;14,2;68;20;
c19;11,3;23,6;40;50;
c20;2,9;6,5;34;22;
c21;13,8;16,4;98;40;
c22;3;5,1;68;20;
c23;23,6;8,1;65;42;
c24;2,9;22,4;82;46;
c25;2,3;18,6;98;35;
c26;24,6;11,8;28;41;
c27;11,8;17,2;75;23;
c28;22,1;20,6;31;39;
c29;22,9;18,6;83;29;
c30;24,5;8,6;67;43;
c31;22,6;18,3;21;27;
c32;17,5;13,9;88;21;
c33;11,2;21,1;11;23;
c34;7,3;21;52;21;
c35;9,7;5,5;34;32;
c36;19,6;14,2;27;49;
c37;10,9;8,3;21;37;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;14,3;1,1;470;5;1,6
l2;19,9;9,8;420;6;2,1
l3;22,1;23,8;890;4;2,8
l4;5,7;5,9;350;5;2,6
l5;12,4;10,9;360;6;3,5
l6;19,9;24,1;830;6;2,3
l7;10,1;1,4;460;7;1,4
l8;2;16,9;750;5;1,8
l9;12,3;4,8;470;7;2,9
l10;10,9;20,4;620;5;2,6
l11;13,2;3,6;590;7;2
l12;18,5;8,3;350;6;2,5
l13;13,6;17,9;910;6;2,6
l14;6,6;6,3;590;5;3,5
l15;20,1;14,6;310;4;1,7
l16;0;0;8370;37;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;4,1;17,3;3750;990;770
r2;9,9;15,2;3640;890;550
r3;4,1;14,1;4780;700;550
r4;2,7;3,9;3940;710;510
r5;11,9;17,7;3420;950;770
r6;9,5;21,4;2740;620;530
r7;13,3;8,5;2960;890;790
r8;19,4;6,1;4070;900;490
r9;7,2;16,1;3430;780;740
r10;18,7;9,6;4220;600;560
r11;6,9;17;3730;1110;660
r12;0;0;40680;1982;1247
