Nom;Italie_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;13,4;4,6;35;33;
c2;9,3;5,1;34;32;
c3;5,1;15,7;97;37;
c4;2,8;20;47;42;
c5;2,7;7;63;41;
c6;16,1;13,5;75;41;
c7;8,6;17,3;33;22;
c8;2;8,7;59;45;
c9;8,7;19,2;27;44;
c10;11,5;10,7;15;31;
c11;23;5,2;22;35;
c12;24,9;19,9;63;34;
c13;10,5;5,2;16;35;
c14;7,4;15,9;78;42;
c15;7,3;20,4;20;40;
c16;1,8;17,1;27;31;
c17;20,1;11;22;42;
c18;23,5;18,5;34;49;
c19;4;20,4;17;43;
c20;8,7;19,3;18;24;
c21;10,8;24,1;32;42;
c22;16,7;9,4;90;47;
c23;7,9;20,3;91;43;
c24;18;5,2;13;20;
c25;16;8,2;32;37;
c26;7,7;11,4;44;23;
c27;23,3;13,3;84;34;
c28;2,4;11,5;57;24;
c29;1,3;1,9;17;24;
c30;17,5;15,3;17;46;
c31;14,2;9,2;19;27;
c32;9,5;17,7;58;38;
c33;21;18,7;77;33;
c34;5,2;23,4;55;38;
c35;17,7;19,4;27;36;
c36;14,4;14,7;50;41;
c37;17,5;6,3;74;35;
c38;8,1;15,3;51;34;
c39;11,6;20;37;29;
c40;8,9;14,1;88;33;
c41;18,9;24,3;30;49;
c42;11,8;13,5;46;48;
c43;11,3;23;76;22;
c44;10,3;3,3;25;40;
c45;7;11,6;43;44;
c46;19;19,5;47;24;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;2,4;5,2;690;7;3,1
l2;22,2;9,6;930;6;2
l3;13,1;19,1;330;6;2,2
l4;10,3;3,9;630;6;2,9
l5;21;8,6;760;7;2,8
l6;3,2;11,9;920;5;3
l7;17;13,3;620;6;3,1
l8;2;20,2;550;7;2,6
l9;7,1;11,7;530;5;2,6
l10;12,9;3,3;790;7;2
l11;18,6;2,9;910;5;3,3
l12;21,1;10,4;900;5;1,8
l13;13,3;3,4;590;6;3
l14;16,9;14,7;610;7;2
l15;18,7;6,8;330;6;3,5
l16;22;17,5;480;5;2,3
l17;16,2;4,4;900;7;2,7
l18;17,9;13,5;280;7;3,5
l19;8,4;23,6;610;7;1,9
l20;9,4;20,3;890;6;1,6
l21;19,9;5,7;520;7;1,3
l22;14,2;24,8;590;5;2,6
l23;9,3;3,4;950;7;3,2
l24;14,7;3,6;900;5;3,3
l25;0;0;16210;46;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;1,8;3,2;3430;1990;1170
r2;6,9;2,9;2590;1550;1030
r3;16,4;11,8;2580;1380;890
r4;5,4;12,3;3310;1350;1010
r5;2,5;7,7;3000;1420;1060
r6;4,1;5,5;3860;1540;1090
r7;19,6;23,8;2970;1850;1230
r8;11,7;19,4;3890;1940;800
r9;9,7;24,3;4450;1520;1130
r10;13,4;12,8;4110;1790;840
r11;19,4;1,8;3990;1950;850
r12;2,3;21,2;3310;1380;1480
r13;23,6;16,3;3940;1570;1100
r14;9,9;5,8;3170;1520;990
r15;2,7;5,3;3540;1510;1320
r16;6;16,8;2860;1480;1200
r17;20,7;1,6;2600;1760;1420
r18;5,2;22,1;4780;1530;1310
r19;8,7;3,2;4430;1360;920
r20;0;0;66810;2082;1654
