Nom;Espagne_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;9,6;16,9;32;44;
c2;1,6;4,6;46;44;
c3;12,1;22,2;11;23;
c4;4;18,7;75;30;
c5;4,8;7,6;22;46;
c6;22,4;19,1;56;28;
c7;9,8;3,7;86;30;
c8;23,9;14,8;74;24;
c9;3,8;9,3;31;21;
c10;8,2;13,9;32;43;
c11;14,8;10;16;38;
c12;24,7;9,2;19;25;
c13;17;12,9;88;42;
c14;17,4;3,4;35;29;
c15;3,4;8,8;20;35;
c16;11,8;24,4;75;35;
c17;19,2;12,2;25;22;
c18;12;15;97;39;
c19;1,8;9,7;68;49;
c20;19,7;7,8;58;27;
c21;22,5;17,5;17;50;
c22;20,4;3,6;99;46;
c23;22,7;24,1;39;31;
c24;11,2;3,3;84;21;
c25;15;11,2;14;50;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;3,6;12,5;480;5;1,3
l2;7,6;20,4;380;3;2,8
l3;13,1;2,7;460;4;3,2
l4;3,4;6,4;900;3;2,3
l5;23;16,7;750;5;3
l6;14,2;1,4;950;6;1,2
l7;5;17,3;730;5;2,1
l8;20,3;11,9;830;6;2,2
l9;22,7;15,8;540;5;1,1
l10;13,2;21,8;670;3;3,3
l11;19,8;22,5;700;6;2,2
l12;6,4;7,2;910;6;3,1
l13;3,1;22,4;500;3;1,7
l14;17,8;15,3;830;5;1,6
l15;17,6;18,9;290;5;1,5
l16;18,4;13,5;820;5;2,5
l17;4,4;2;780;3;2
l18;19,7;13,8;360;6;2,9
l19;1,9;12;510;6;2,1
l20;8,3;14,6;640;3;1,5
l21;10,6;21,3;630;4;2,3
l22;24,3;24,1;480;6;1,9
l23;5,9;4,1;430;4;3,5
l24;0;0;14570;25;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;23,1;20,1;3640;790;670
r2;22,2;22,4;4790;1110;470
r3;10;18,5;3260;780;450
r4;10;6,8;4860;1170;460
r5;12,9;17,7;4250;900;640
r6;23,7;18,5;3060;1080;510
r7;11,5;4,5;3980;1150;530
r8;23,5;3,9;3350;620;410
r9;16,9;17,5;4400;730;700
r10;3,4;10,1;4820;940;720
r11;21,4;13,3;3940;1170;720
r12;22,8;15,2;3160;1040;400
r13;3,2;19,6;3890;1020;730
r14;22,3;19,4;3640;910;680
r15;24,9;12,4;2690;1200;770
r16;3,9;19,2;3260;1040;490
r17;18,8;12,1;2750;910;700
r18;0;0;63740;1219;872
