Nom;Canada_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;1,4;4,3;97;44;
c2;9,8;2,5;16;43;
c3;11,7;9,3;90;44;
c4;1,5;3,3;68;22;
c5;8,4;6,6;24;27;
c6;1,9;5,5;91;21;
c7;12,3;2,7;32;42;
c8;13,5;3,9;50;34;
c9;3,4;2,4;31;23;
c10;12;6,4;36;35;
c11;7,4;6,9;19;50;
c12;10,1;1,9;30;41;
c13;4,9;1,7;67;20;
c14;6,4;1,7;30;46;
c15;4,6;8,3;95;48;
c16;20;24,7;15;29;
c17;14,2;12,8;39;36;
c18;24,1;14,8;47;21;
c19;18,2;22,8;68;30;
c20;12,1;18,6;85;38;
c21;15,5;17,8;48;46;
c22;22,4;23,8;23;45;
c23;20,7;19,3;26;22;
c24;16,4;14,6;45;41;
c25;13,9;20,3;58;27;
c26;20,6;16,2;11;42;
c27;13,2;12,5;92;49;
c28;20,2;24,3;60;21;
c29;18;17,3;24;50;
c30;13;13;32;41;
c31;4,5;1,7;71;42;
c32;13,2;7,8;54;50;
c33;9,8;8,5;80;43;
c34;22,1;23,5;95;22;
c35;24,3;5,9;23;22;
c36;16,1;22,2;54;39;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;3,9;1,9;690;5;1,2
l2;13;1,8;500;5;3,3
l3;12,4;5,5;780;3;3,2
l4;10;9,7;760;3;2,1
l5;14,4;2,3;880;6;2,7
l6;2,6;5,2;870;5;2,3
l7;5,4;4,8;370;3;1,6
l8;4,3;7,9;790;4;3,1
l9;9,7;6;300;4;2,1
l10;14,3;6,3;950;3;3,2
l11;7,7;18,3;490;6;2,9
l12;16,9;14,5;370;6;3
l13;22,1;13,7;780;5;3
l14;22,7;22,7;870;4;1,9
l15;20,7;13,4;280;3;3,2
l16;14,5;16;530;3;1,2
l17;22;23,9;950;3;2,3
l18;22,7;20,3;400;6;1,8
l19;22,7;13,8;400;5;2,1
l20;0;0;11960;36;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;17,2;1,1;4540;860;540
r2;15,6;12,9;3280;810;540
r3;1;21,8;4190;840;800
r4;18,6;19,5;4450;1110;590
r5;21,3;4;4140;1140;570
r6;4,8;21,3;2680;830;670
r7;23,6;7,7;4000;900;560
r8;8,9;20;3410;1150;620
r9;11;18,7;3570;640;660
r10;21;22,4;2760;840;620
r11;17,6;5,7;2800;1090;540
r12;4,3;7,7;3000;670;560
r13;25;20,8;3160;600;690
r14;16,5;7,2;4180;900;790
r15;15;17,7;3370;1090;400
r16;0;0;53530;1826;1296
