Nom;Etats-Unis_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;11,4;8,9;87;22;
c2;4,1;5,9;41;35;
c3;6,5;6,4;30;26;
c4;3,3;7,6;92;25;
c5;12;7,2;67;34;
c6;6,5;4,6;56;34;
c7;8,6;3,3;26;37;
c8;2,4;4;31;28;
c9;8,7;1;45;28;
c10;4,8;3,2;94;20;
c11;13;3,1;45;48;
c12;8,2;1,9;51;44;
c13;2,6;9,6;35;47;
c14;13,7;5,5;54;21;
c15;12,9;9,6;77;29;
c16;8,5;1,2;41;45;
c17;10,9;6,9;96;48;
c18;5,7;7,5;26;29;
c19;5;2,9;88;25;
c20;1,3;9,5;81;48;
c21;12;12,7;49;26;
c22;16,6;20,7;66;29;
c23;22,5;15,1;70;44;
c24;10,1;15,8;35;25;
c25;18,5;20,1;70;30;
c26;13,6;15,6;10;28;
c27;20,1;21;63;43;
c28;20,6;22,1;87;48;
c29;21,4;15,5;35;26;
c30;17,5;15,9;36;34;
c31;12,1;22,1;99;25;
c32;10,9;21,8;100;50;
c33;15,2;16,4;77;20;
c34;18;18,6;90;23;
c35;17;12,6;37;48;
c36;23,7;21,3;46;35;
c37;20,4;16,3;78;48;
c38;22;20,5;61;48;
c39;14,1;24,6;11;43;
c40;11,9;17,2;50;49;
c41;18,5;13,7;92;48;
c42;11,4;13,6;26;39;
c43;19,8;17,2;85;31;
c44;15,2;13,6;68;38;
c45;19,8;18,4;16;44;
c46;16;24,4;65;43;
c47;10,4;15;87;23;
c48;13;13,8;16;22;
c49;22;15,8;34;28;
c50;14,1;14,9;82;50;
c51;19,5;22,7;74;28;
c52;19,2;5,9;98;27;
c53;1,7;13,8;59;31;
c54;18,1;1,3;76;30;
c55;15,2;7,6;60;45;
c56;9,9;9,5;73;50;
c57;13,9;18,5;34;31;
c58;21,6;8,5;23;37;
c59;21,8;24,3;24;25;
c60;1,8;3,4;83;23;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;8;8,8;880;6;1,1
l2;7,8;5,6;890;4;3,5
l3;14,8;2,6;420;3;1,5
l4;10,4;7,4;390;5;1,6
l5;4,3;4,8;580;3;3,4
l6;12,5;8,7;580;4;3,2
l7;13,1;9,8;770;4;3,2
l8;13,1;8;730;4;2,3
l9;3,4;1,2;790;4;2,2
l10;9,7;5,8;700;4;1,8
l11;4,7;5;700;4;3
l12;9,3;6,5;490;6;2,7
l13;2,2;8,3;830;4;3,5
l14;2,3;1;340;5;3,1
l15;21,5;15;700;3;1,7
l16;15,2;17,3;430;3;3,4
l17;22,1;16;340;3;1,2
l18;12,4;24,4;740;4;3,1
l19;21,3;22,2;830;5;1,4
l20;24,9;12,5;340;5;2,6
l21;22,2;21,1;790;4;1,1
l22;17;18;310;6;3,4
l23;13,5;21,6;830;5;1,7
l24;19;20,5;540;5;3,5
l25;20,8;7;740;3;1,2
l26;18,9;22,8;950;4;1,5
l27;14;2,6;910;6;1,4
l28;4,8;4,8;560;4;2,8
l29;22,9;7,7;760;3;2,7
l30;0;0;18860;60;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;14,2;6,2;4860;780;440
r2;3;3,8;4070;770;590
r3;11,8;9,5;4880;620;770
r4;14,2;5,8;2780;670;570
r5;4,8;3,8;3310;610;700
r6;13,2;19;4350;920;520
r7;16;14,9;3030;630;510
r8;11,3;23,9;4600;980;780
r9;22;23,4;3970;740;400
r10;11,2;12,9;3010;950;430
r11;1,9;17;4170;1100;500
r12;5;18,2;4610;1080;450
r13;4,5;7,5;3530;660;510
r14;6,6;3;3780;790;500
r15;13,7;16,1;3650;1020;510
r16;16,3;20,3;3110;890;490
r17;15,9;22,8;2760;1150;760
r18;8,2;6,5;3890;820;510
r19;16,4;9;3370;1010;620
r20;24,9;10,6;4400;810;420
r21;17,6;11,5;4640;900;500
r22;0;0;80770;3508;2088
