Nom;Russie_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;10,2;2,7;31;33;
c2;6,8;6,5;60;31;
c3;4,9;2,4;43;22;
c4;2,2;2,1;13;37;
c5;2,7;2;69;48;
c6;4,3;3;33;45;
c7;12,2;1,6;18;40;
c8;10,7;8,8;76;28;
c9;5,9;8,7;53;43;
c10;12,1;4,9;35;25;
c11;12,1;4,5;14;50;
c12;10,9;1,8;38;34;
c13;3,5;2,6;19;48;
c14;11,1;8,5;74;20;
c15;10,7;3,2;66;46;
c16;1;1,2;73;38;
c17;9,2;6,6;66;31;
c18;7;3,7;92;27;
c19;6,5;9,9;38;34;
c20;6,1;3,9;94;25;
c21;23,4;24,9;66;49;
c22;22,2;17,2;95;35;
c23;21,2;18,6;10;45;
c24;11,6;12,8;10;32;
c25;10,4;16,5;48;26;
c26;22,8;24,2;22;27;
c27;24,9;20,9;73;43;
c28;11,4;18,7;45;42;
c29;20,3;15,6;57;48;
c30;19,8;19,8;76;49;
c31;12,5;16,5;98;47;
c32;22,7;13,6;86;22;
c33;21,4;23;75;29;
c34;23,8;22,7;56;49;
c35;21,6;24,8;43;24;
c36;20,8;17,1;36;49;
c37;19,5;20,5;79;47;
c38;13,4;25;75;49;
c39;16,8;24,4;16;29;
c40;23,2;24,2;43;20;
c41;11;19,1;16;24;
c42;24,2;24,3;18;23;
c43;19,7;13,2;77;21;
c44;11,2;18,5;36;38;
c45;24,2;17,4;38;28;
c46;17,3;12,8;98;21;
c47;16,1;13,2;38;44;
c48;16,3;13,5;32;31;
c49;10,5;17,1;24;33;
c50;22,1;21,9;60;34;
c51;9,6;3,5;72;30;
c52;17,6;19,3;65;27;
c53;12,1;16,2;31;39;
c54;8,3;6,8;11;24;
c55;9,3;17,1;28;34;
c56;18,6;21,5;95;33;
c57;13,6;15,9;28;46;
c58;19,2;23,9;20;34;
c59;3,2;16;45;35;
c60;7;13,8;27;27;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;13,6;5,8;900;9;2,2
l2;2,4;3;710;10;1,9
l3;6,6;2,8;830;7;2,3
l4;14;2,3;780;7;2,6
l5;5,6;4,6;1000;7;2,2
l6;8,5;8,5;1230;9;1,5
l7;8,9;8,7;1110;5;2,6
l8;13,6;2,5;820;9;1,5
l9;13,8;7,5;710;7;3
l10;5,1;1,5;550;9;3,1
l11;1,3;7,9;1520;8;2,9
l12;7,8;4,6;1750;10;2
l13;1,2;6,3;920;7;3,5
l14;10,2;7,8;1660;6;1,6
l15;16;15,1;650;5;1,3
l16;17,5;20,4;1110;5;3
l17;10,6;22,6;770;10;2,3
l18;24,1;24,4;1120;7;3
l19;14,4;13,6;1340;7;1,4
l20;19,9;16,2;760;5;1,2
l21;18,1;17,6;1350;8;2,9
l22;19,8;18,1;1450;6;2,9
l23;13,6;12,6;640;8;1,5
l24;15,2;22,4;1550;7;2,3
l25;23,1;9,6;1280;9;2,2
l26;24,8;8,5;480;5;1,1
l27;3,2;3;650;7;1,6
l28;9,6;17,8;500;7;1,7
l29;14,4;13,3;1350;10;3,2
l30;0;0;29490;60;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;8,5;3,5;3600;1900;1110
r2;11,4;7,5;3600;1980;1360
r3;7,3;2,5;4850;1910;1160
r4;5,1;6,1;4020;1830;1470
r5;5,6;8;5600;2290;1310
r6;23,7;24,8;4400;1700;1350
r7;15,6;16,5;6920;2160;1500
r8;24,5;15,7;5570;1680;1000
r9;13,4;23,9;6820;1710;1460
r10;11,1;22,5;4620;1880;1380
r11;16,4;20,3;4300;2250;1200
r12;2,8;8,5;6050;1670;1340
r13;19,7;12,9;3640;1800;1110
r14;23,2;13,3;4800;1890;1250
r15;8,1;20,3;5420;1620;1050
r16;10,1;7,9;5400;1850;1220
r17;19,9;6,1;5030;1680;1070
r18;18,7;2,4;4200;2020;1260
r19;7,9;13,7;5190;1770;1480
r20;17,2;2,6;3440;1920;1220
r21;14,3;2,2;4560;2220;1040
r22;0;0;102030;2973;2092
