Nom;Bresil_2021;;;;
;;;;;
Id client;Abscisse;Ordonnee;Chiffre d'affaires;Emprunts;
c1;3,7;2,3;33;29;
c2;6,6;3;40;40;
c3;1,4;2,6;19;48;
c4;2,4;2,8;78;22;
c5;1,8;3,4;15;28;
c6;5,2;4,6;71;22;
c7;3,2;4,6;84;35;
c8;6,3;1,4;64;30;
c9;4,6;2,3;65;33;
c10;1,2;4;72;20;
c11;2,7;2,8;51;20;
c12;2,8;2,4;11;31;
c13;3,1;2,1;22;41;
c14;6,7;4,7;47;23;
c15;1,1;3,8;83;33;
c16;10;16,7;61;27;
c17;6,1;17;29;43;
c18;8,3;14,4;59;31;
c19;13,4;17,5;68;42;
c20;7,2;16,3;100;27;
c21;6,7;12,1;62;29;
c22;15;12,7;86;33;
c23;10,5;12;63;48;
c24;7,9;12,8;69;23;
c25;8,3;17,5;48;23;
c26;22,8;7,6;80;30;
c27;22,4;8,1;24;43;
c28;21;11,9;92;39;
c29;24,5;8,7;79;43;
c30;21,1;7,7;85;26;
c31;20;11,7;88;49;
c32;23,9;10,9;37;43;
c33;20,9;9,6;23;43;
c34;23,6;8,5;30;49;
c35;20,5;8,8;84;32;
c36;22,4;11,6;87;30;
c37;22,9;11,3;80;28;
c38;23,1;9,9;82;50;
c39;22,9;11,9;84;39;
c40;24,3;11,5;52;31;
c41;17,5;18,7;92;23;
c42;20,4;17,8;84;38;
c43;13,4;20,3;38;38;
c44;10,5;15,8;80;43;
c45;19,4;18,5;12;34;
c46;10,7;12,4;47;30;
c47;11,5;18,7;96;24;
c48;22,5;23,9;38;49;
c49;13,6;12,8;59;48;
c50;16,9;12,6;68;48;
c51;13,9;4,9;54;41;
c52;5,6;17,4;54;28;
c53;21,7;8,7;61;26;
c54;3,3;19,9;64;23;
c55;9,3;8,3;61;47;
c56;6,9;12,1;58;37;
c57;19,4;5,9;33;23;
c58;16,7;11,8;81;31;
c59;10,4;20,8;32;35;
c60;1,9;23,7;26;45;
;;;;;
Id agence locale;Abscisse;Ordonnee;Cout location;Nb max clients;Accessibilite
l1;1,6;4,6;1680;6;3,4
l2;8;3,3;540;5;3,2
l3;4,1;1;910;5;2,9
l4;4,1;3,2;1080;8;1,1
l5;12,7;15,3;1010;7;1,7
l6;9,1;16,5;1380;10;1,6
l7;5,7;15,5;1430;10;1,3
l8;9,8;17,9;1340;6;1,9
l9;6,7;15,6;570;6;3,4
l10;12,4;14,8;1740;10;1,2
l11;21,7;12;1700;5;2,2
l12;21,7;9,8;1430;8;1,8
l13;23,6;11,5;1560;6;2
l14;25;7;870;8;1,9
l15;22,3;8,3;780;5;1,4
l16;24,6;9;1600;10;3,5
l17;24,7;8,3;620;5;1,3
l18;24,6;11,3;560;9;2,5
l19;22,3;8,7;1660;7;2,3
l20;21,8;9,1;1070;5;2
l21;23,3;15,2;1370;6;3
l22;8;17;1600;6;1,9
l23;3,7;12;850;6;1,5
l24;12,9;17,3;1580;8;1,2
l25;10,1;11,5;1630;7;1,5
l26;18,5;1,5;820;6;2,9
l27;12,4;24;1670;5;1,2
l28;10,6;5;670;8;1,9
l29;9,8;23,4;890;9;2,2
l30;0;0;34610;60;5
;;;;;
Id agence regionale;Abscisse;Ordonnee;Cout location;Chiffre d'affaires max;Emprunts max
r1;5,9;4,7;5830;1680;500
r2;1;1;4950;1430;360
r3;3,5;2,1;4000;1470;690
r4;11,3;13,1;4870;800;360
r5;9,2;15,1;5210;940;700
r6;10,2;14,1;7180;210;480
r7;24,2;11,3;6480;1310;320
r8;25;7,9;5230;780;100
r9;22,1;9,7;6290;1720;580
r10;4;9,1;4210;1420;450
r11;5,2;13,7;4550;780;560
r12;3,2;11,9;6240;410;100
r13;21;19,4;5990;1260;150
r14;24,2;18,9;3540;280;540
r15;6,6;12,4;4700;1920;440
r16;16,8;1,9;3830;490;150
r17;9;10,2;6460;1290;650
r18;24,1;9,7;5170;260;690
r19;15,8;13,6;6900;300;140
r20;7,5;13;6240;1220;450
r21;18,9;21,5;5030;650;170
r22;0;0;112900;3545;2067
